Tickers,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend Est.,Dividend TTM,Dividend Ex-Date,Employees,Option/Short,Sales Surprise,SMA20,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,EPS Surprise,SMA50,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS Growth next Y,EPS next 5Y,EPS past 5Y,Sales past 5Y,EPS Y/Y TTM,Sales Y/Y TTM,EPS Q/Q,Sales Q/Q,SMA200,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROI,Gross Margin,Oper. Margin,Profit Margin,Payout,Earnings,Trades,Shs Outstand,Shs Float,Short Float,Short Ratio,Short Interest,52W Range,52W High,52W Low,RSI (14),Recom,Rel Volume,Avg Volume,Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf Year,Perf YTD,Beta,ATR (14),Volatility,Target Price,Prev Close,Price,Change
COO,S&P 500,19.77B,359.30M,3.80B,39.80,0.55,0.02 (0.02%),-,"Jul 26, 2023",15000,Yes / Yes,0.55%,-4.32%,55.42,24.37,4.46,5.20,2.50,180.02,104.47,1.18,1.99,0.33,0.33,5.38%,-6.73%,1.79,4.08,1.00,14.20%,11.63%,12.43%,15.98%,8.41%,29.89%,8.25%,22.11%,7.80%,1.90%,0.50%,-7.21%,97.86%,0.78%,3.02%,4.65%,3.42%,61.17%,16.90%,9.45%,1.02%,Dec 05 AMC,,199.16M,198.16M,1.13%,1.91,2.24M,82.21 - 112.38,-11.47%,21.00%,29.39,1.95,0.76,1.17M,"895,851",-3.93%,-8.11%,3.74%,2.34%,16.84%,5.15%,0.98,2.13,2.25% 2.07%,115.93,99.63,99.48,-0.15%
COOK,RUT,373.43M,-51.09M,598.91M,2.15,0.13,-,-,-,641,Yes / Yes,2.79%,-7.82%,-,16.61,-,0.62,1.32,22.14,17.13,1.08,2.09,1.58,1.52,4.76%,-14.07%,-0.40,0.17,0.00,131.67%,350.00%,12.86%,-28.31%,17.51%,45.42%,3.17%,0.71%,3.67%,6.70%,55.62%,0.63%,36.30%,0.95%,-6.18%,-17.27%,-7.24%,35.29%,-1.70%,-8.53%,-,Nov 06 AMC,,125.87M,57.96M,2.44%,6.44,1.41M,1.97 - 3.97,-28.46%,44.07%,34.49,2.40,0.66,219.87K,"145,768",-8.68%,-11.53%,-12.07%,32.71%,20.85%,4.03%,1.24,0.16,4.42% 4.79%,3.86,2.97,2.84,-4.38%
COOP,RUT,6.18B,511.00M,1.83B,72.49,14.46,-,-,-,6800,Yes / Yes,-21.73%,3.80%,12.57,7.41,-,3.38,1.34,6.73,74.50,-,-,2.21,1.82,4.16%,4.58%,7.74,13.14,2.66,40.89%,26.58%,-3.69%,-11.06%,3.13%,16.49%,9.18%,-69.95%,-38.34%,15.95%,3.65%,-6.45%,88.90%,0.08%,3.45%,11.43%,3.91%,-,40.14%,27.91%,0.00%,Oct 23 BMO,,64.60M,61.65M,2.31%,3.15,1.42M,56.84 - 103.05,-5.56%,71.22%,56.70,1.78,0.90,451.31K,"405,731",-4.05%,2.11%,7.52%,16.13%,70.65%,49.45%,1.41,2.64,2.68% 3.06%,111.00,96.18,97.32,1.19%
COOT,-,20.63M,-2.00M,0.00M,0.90,0.00,-,-,-,-,No / Yes,-,7.96%,-,-,-,-,0.97,2062.66,-,0.01,0.01,1.09,0.00,-,4.92%,-0.46,-,-,-,-,-,-,-,63.03%,-,-55.16%,-,-64.20%,81.92%,0.00%,0.90%,-,-13.08%,-18.76%,-61.33%,-,0.00%,-,-,-,,23.22M,4.20M,0.25%,0.19,0.01M,0.61 - 11.96,-92.73%,42.46%,55.04,-,0.22,53.69K,"11,638",17.27%,10.32%,-9.43%,-22.41%,-92.28%,-92.48%,-0.19,0.09,16.09% 13.74%,-,0.92,0.87,-5.53%
COP,S&P 500,130.23B,9.91B,55.02B,43.34,5.93,3.14 (2.76%),2.92 (2.57%),"Nov 08, 2024",9900,Yes / Yes,-2.61%,4.68%,13.51,13.92,1.93,2.37,2.62,19.17,14.09,1.16,1.30,0.37,0.34,6.84%,5.17%,8.42,8.17,1.80,-11.92%,5.78%,7.00%,11.22%,26.88%,-7.99%,-7.55%,-24.11%,-8.90%,-0.38%,0.08%,-5.11%,84.47%,0.32%,10.42%,20.31%,14.83%,30.11%,25.17%,18.02%,43.16%,Oct 31 BMO,,1.18B,1.15B,1.94%,3.57,22.36M,101.29 - 134.71,-15.55%,12.31%,61.76,1.59,0.81,6.27M,"5,088,960",1.53%,7.66%,3.56%,-5.72%,2.12%,-1.47%,1.20,2.42,1.96% 1.88%,134.83,112.32,113.76,1.28%
COR,S&P 500,47.23B,1.51B,293.96B,4.70,16.11,2.16 (0.89%),2.08 (0.86%),"Nov 15, 2024",46000,Yes / Yes,1.84%,1.63%,32.35,14.88,3.43,0.16,51.72,15.08,15.76,0.51,0.88,5.58,4.84,3.52%,4.35%,7.51,16.32,3.50,8.51%,9.32%,9.43%,13.27%,10.39%,-12.10%,12.12%,-98.84%,14.69%,4.19%,10.49%,-23.98%,89.79%,1.05%,2.33%,230.62%,32.82%,2.96%,1.04%,0.51%,27.09%,Nov 06 BMO,,200.81M,176.38M,5.65%,6.80,9.96M,194.23 - 251.56,-3.45%,25.04%,57.15,2.00,0.85,1.47M,"1,245,222",-2.50%,2.29%,1.87%,9.90%,23.34%,18.25%,0.44,4.71,1.99% 1.74%,272.00,240.24,242.87,1.09%
CORT,RUT,5.22B,140.46M,628.55M,6.10,3.84,-,-,-,352,Yes / Yes,6.15%,1.74%,41.85,27.52,-,8.30,8.62,13.71,36.57,3.64,3.70,0.01,0.01,45.44%,12.39%,1.26,1.91,0.38,44.68%,40.59%,-,9.67%,14.14%,56.02%,39.67%,46.33%,47.69%,58.82%,13.91%,-1.03%,82.14%,-5.77%,20.38%,25.53%,21.77%,98.44%,22.81%,22.35%,0.00%,Oct 30 AMC,,103.41M,90.20M,20.84%,20.19,18.80M,20.84 - 61.66,-14.67%,152.50%,54.54,1.00,0.82,930.96K,"764,200",-10.90%,5.77%,53.37%,82.20%,109.56%,62.01%,0.48,2.66,5.10% 5.38%,74.90,51.83,52.62,1.52%
CORZ,RUT,4.47B,-1133.32M,557.68M,-2.61,0.89,-,-,-,286,Yes / Yes,-3.69%,6.20%,-,102.55,-,8.01,-,17.60,-,3.63,3.63,-,-,-1570.06%,19.02%,-5.45,0.15,-0.08,-487.62%,103.98%,-,-,-1.31%,-299.27%,15.77%,-991.26%,-15.54%,94.93%,14.62%,0.05%,61.76%,84.17%,-139.29%,-,-,27.90%,6.63%,-203.22%,-,Nov 06 AMC,,386.88M,238.43M,12.37%,2.79,29.49M,2.61 - 18.03,-13.48%,497.70%,58.32,1.08,0.70,10.57M,"7,423,686",-10.70%,21.78%,53.85%,297.96%,-,353.49%,-,0.97,6.56% 6.59%,19.58,15.83,15.60,-1.45%
COSM,-,15.76M,-25.78M,53.38M,1.50,0.15,-,-,-,123,Yes / Yes,-,-2.41%,-,-,-,0.30,0.47,4.72,-,1.24,1.44,0.32,0.09,-,-14.62%,-1.72,-0.05,-0.11,77.67%,89.58%,-,33.86%,8.74%,95.35%,6.02%,-401.43%,0.39%,-17.68%,15.51%,0.00%,10.28%,-,-26.60%,-46.31%,-67.68%,7.00%,-40.90%,-48.31%,-,Aug 20 AMC,,23.35M,19.72M,1.84%,0.72,0.36M,0.47 - 1.65,-57.58%,49.67%,45.17,1.00,5.63,507.46K,"2,859,191",-0.71%,-11.66%,-34.58%,2.59%,-35.19%,-50.35%,3.14,0.06,15.80% 8.00%,4.00,0.63,0.70,11.13%
COST,"NDX, S&P 500",399.99B,7.37B,254.45B,53.31,25.62,4.65 (0.51%),4.50 (0.49%),"Nov 01, 2024",333000,Yes / Yes,-0.27%,1.78%,55.51,46.77,6.00,1.57,17.25,35.89,60.34,0.44,0.97,0.42,0.40,4.11%,2.39%,16.56,19.66,3.79,7.77%,10.18%,9.26%,14.93%,10.86%,17.07%,5.02%,8.85%,0.96%,12.15%,0.23%,-2.05%,69.04%,0.09%,10.61%,30.27%,22.23%,12.61%,3.65%,2.90%,26.32%,Dec 12 AMC,,443.13M,442.04M,1.36%,3.36,5.99M,559.52 - 962.00,-4.42%,64.34%,56.53,2.08,1.00,1.78M,"1,784,286",-1.43%,3.37%,4.94%,15.95%,62.54%,39.30%,0.80,15.94,1.52% 1.62%,940.37,907.07,919.51,1.37%
COTY,-,5.83B,157.50M,6.15B,4.66,0.37,-,-,"Feb 14, 2020",11791,Yes / Yes,-0.16%,-5.18%,41.96,11.32,2.24,0.95,1.52,18.97,24.56,0.55,0.85,1.08,1.06,-18.83%,-15.32%,0.17,0.62,0.21,40.89%,19.83%,18.77%,-,0.52%,-59.34%,5.90%,4645.00%,1.83%,-30.39%,58.02%,0.00%,40.21%,0.63%,1.36%,4.40%,1.89%,61.82%,9.72%,2.56%,0.00%,Nov 06 AMC,,867.80M,365.17M,3.21%,2.32,11.72M,7.02 - 13.30,-46.84%,0.71%,33.64,2.05,1.24,5.05M,"6,236,917",-3.94%,-8.18%,-25.81%,-32.41%,-34.66%,-43.08%,1.91,0.28,4.20% 3.32%,10.16,7.20,7.07,-1.81%
COUR,RUT,1.07B,-78.28M,684.37M,3.75,4.65,-,-,-,1295,Yes / Yes,1.21%,-4.70%,-,20.44,-,1.56,1.83,1.48,15.28,2.53,2.53,0.01,0.01,373.93%,-8.71%,-0.50,0.34,0.04,2891.94%,12.32%,-,-21.68%,37.04%,49.41%,12.36%,59.19%,6.37%,-29.82%,16.72%,-0.30%,70.58%,-1.84%,-8.56%,-12.97%,-13.13%,53.37%,-15.95%,-11.44%,-,Oct 24 AMC,,155.32M,131.92M,7.59%,5.12,10.01M,6.29 - 21.26,-67.69%,9.22%,37.02,1.57,0.86,1.95M,"1,683,543",-7.91%,-10.43%,-15.71%,-20.30%,-64.77%,-64.53%,1.44,0.33,3.90% 4.78%,10.70,6.93,6.87,-0.87%
COYA,-,101.43M,-10.70M,9.55M,2.10,1.86,-,-,-,8,No / Yes,-100.00%,-20.65%,-,-,-,10.62,2.89,3.27,-,15.31,15.31,0.00,0.00,28.22%,-14.78%,-0.72,-1.30,-0.30,-42.53%,-15.67%,-,-,0.00%,42.09%,-,23.20%,-,-19.43%,7.72%,1.15%,19.84%,-2.64%,-45.10%,-50.83%,-33.42%,99.71%,-116.56%,-111.98%,-,Nov 06 BMO,,16.71M,15.42M,1.27%,2.52,0.20M,4.75 - 10.69,-43.22%,27.79%,37.59,1.00,1.01,77.99K,"78,599",-17.19%,-24.12%,7.43%,-31.72%,21.40%,-18.08%,0.41,0.71,8.88% 11.64%,15.90,6.32,6.07,-3.96%
CP,-,94.88B,2.60B,10.62B,35.01,0.27,0.55 (0.75%),0.56 (0.76%),"Dec 27, 2024",18233,Yes / Yes,-1.39%,-4.51%,26.57,20.69,1.80,8.94,2.11,276.83,62.54,0.46,0.53,0.50,0.42,-1.84%,-8.96%,2.78,3.57,0.91,10.48%,18.12%,14.79%,8.14%,11.29%,-16.11%,27.29%,5.36%,4.52%,-10.19%,0.02%,0.00%,74.21%,-0.84%,4.31%,8.23%,5.59%,38.14%,35.87%,24.50%,18.07%,Oct 23 AMC,,933.35M,933.12M,0.73%,3.03,6.84M,69.27 - 91.58,-19.25%,6.76%,27.24,1.67,3.47,2.25M,"7,827,230",-4.46%,-7.65%,-6.76%,-10.52%,3.22%,-6.46%,0.97,1.42,1.57% 1.90%,90.06,73.99,73.95,-0.05%
CPA,-,4.23B,675.47M,3.50B,53.75,23.08,6.24 (6.06%),5.65 (5.49%),"Aug 30, 2024",7625,Yes / Yes,-2.23%,3.61%,-,6.16,-,1.21,1.91,4.46,-,0.89,0.98,0.82,0.69,1.96%,7.18%,-,16.71,3.58,-12.98%,14.33%,1.41%,42.38%,26.43%,88.29%,3.58%,549.40%,1.26%,6.44%,26.57%,0.00%,68.18%,4.80%,12.88%,35.64%,17.90%,32.85%,22.86%,19.31%,26.82%,Nov 20 AMC,,31.10M,30.54M,4.93%,5.64,1.51M,80.01 - 114.00,-9.74%,28.61%,62.76,1.00,1.48,266.97K,"395,450",3.75%,0.84%,15.51%,-3.08%,8.37%,-3.21%,1.47,2.59,2.97% 2.59%,145.80,102.56,102.90,0.33%
CPAC,-,538.29M,49.10M,521.81M,4.20,0.55,0.61 (9.57%),0.54 (8.51%),"Nov 21, 2024",-,No / Yes,-3.09%,2.09%,11.07,17.02,0.29,1.03,1.51,11.62,7.76,0.47,1.56,1.12,0.81,291.38%,7.10%,0.57,0.37,0.04,175.68%,12.24%,38.15%,14.10%,7.41%,7.50%,-0.21%,32.63%,-2.00%,11.85%,-,-,4.40%,-2.85%,5.51%,13.82%,7.55%,37.33%,21.11%,9.41%,93.60%,Oct 28 BMO,,84.77M,42.38M,0.08%,4.17,0.03M,4.65 - 6.65,-4.51%,36.56%,60.04,3.00,5.85,7.85K,"45,932",0.24%,9.86%,11.60%,15.45%,19.81%,23.54%,0.52,0.18,2.11% 3.28%,6.11,6.32,6.35,0.47%
CPAY,S&P 500,24.94B,1.01B,3.88B,44.31,60.74,-,-,-,10500,Yes / Yes,0.27%,4.33%,26.00,16.46,1.79,6.43,8.23,6.00,10.74,1.05,1.05,2.51,1.71,0.45%,9.44%,14.02,22.15,5.38,12.26%,16.62%,14.55%,8.43%,9.65%,10.61%,4.68%,7.12%,6.01%,22.39%,3.49%,-10.06%,93.24%,-4.43%,6.16%,32.98%,12.13%,71.57%,45.26%,26.14%,0.00%,Nov 07 AMC,,71.72M,67.28M,2.32%,3.16,1.56M,230.68 - 375.98,-3.03%,58.04%,64.19,1.90,1.13,494.37K,"556,711",-2.30%,3.13%,26.09%,30.70%,57.15%,29.00%,1.22,8.41,1.84% 2.34%,394.62,363.36,364.57,0.33%
CPB,S&P 500,12.57B,567.00M,9.64B,12.73,0.37,1.54 (3.55%),1.48 (3.40%),"Oct 03, 2024",14400,Yes / Yes,-0.82%,-5.07%,22.97,12.87,4.49,1.30,3.42,116.42,18.82,0.22,0.61,1.99,1.59,1.69%,-8.92%,1.89,3.38,0.88,3.18%,6.40%,5.11%,15.98%,3.60%,-33.74%,2.98%,-101.79%,10.88%,-5.22%,34.15%,-0.01%,55.09%,5.51%,4.15%,15.21%,5.77%,30.51%,13.71%,5.88%,78.31%,Aug 29 BMO,,298.00M,195.99M,7.61%,6.64,14.91M,39.65 - 52.81,-17.58%,9.76%,28.65,2.82,1.21,2.24M,"2,713,232",-2.77%,-10.27%,-13.60%,-6.17%,5.81%,0.67%,0.17,0.92,2.37% 1.88%,51.47,43.15,43.52,0.86%
CPBI,-,59.95M,3.69M,25.98M,19.76,-,-,-,-,71,No / Yes,-,2.33%,6.34,-,-,2.31,0.73,-,61.80,-,0.06,0.00,0.00,-,9.69%,2.29,-,-,-,-,-,-,23.40%,-,-,5.73%,18.53%,30.46%,16.98%,0.00%,26.36%,65.87%,0.79%,6.15%,4.53%,-,17.32%,14.22%,0.00%,-,,3.82M,3.43M,0.33%,1.11,0.01M,9.40 - 15.00,-3.23%,54.41%,64.66,-,1.09,10.31K,"11,213",-1.66%,3.38%,23.01%,43.29%,51.20%,42.30%,0.08,0.24,1.20% 1.41%,-,14.60,14.52,-0.61%
CPF,RUT,841.44M,56.93M,347.71M,20.09,-,-,1.04 (3.36%),"Nov 29, 2024",737,Yes / Yes,1.81%,5.40%,14.75,12.14,1.84,2.42,1.54,-,11.84,-,0.11,0.35,0.34,-12.50%,7.75%,2.10,2.55,0.61,-0.23%,17.78%,8.00%,1.52%,6.80%,-11.00%,10.43%,0.80%,9.88%,33.00%,2.52%,-0.96%,93.48%,5.19%,0.76%,11.25%,7.81%,-,18.65%,16.37%,48.00%,Oct 30 BMO,,27.05M,26.38M,2.80%,3.15,0.74M,16.95 - 32.21,-3.88%,82.65%,59.05,2.00,0.62,233.96K,"144,581",-2.82%,5.09%,19.08%,46.73%,75.01%,57.32%,1.14,1.06,2.95% 3.33%,32.00,31.03,30.96,-0.23%
CPHC,-,100.08M,4.72M,62.11M,16.97,5.73,-,0.28 (1.34%),"Sep 30, 2024",765,No / Yes,-,7.60%,22.14,-,-,1.61,1.23,3.65,417.01,2.22,2.24,0.00,0.00,-,8.86%,0.94,-,-,-,-,-,11.10%,8.19%,-54.69%,0.13%,75.16%,0.08%,-3.22%,59.02%,0.00%,25.79%,0.46%,4.38%,5.71%,5.53%,31.52%,8.96%,7.60%,13.12%,Aug 08 AMC,,4.96M,2.06M,0.13%,0.85,0.00M,14.27 - 30.25,-30.91%,46.46%,60.85,-,0.13,3.24K,407,7.18%,10.58%,-3.82%,-6.82%,5.29%,2.30%,-0.29,0.70,4.01% 2.51%,-,19.50,20.90,7.18%
CPHI,-,3.48M,-4.74M,5.54M,0.37,0.04,-,-,-,239,No / Yes,-,-17.85%,-,-,-,0.63,0.51,4.65,-,0.26,0.79,0.61,0.22,-,-18.95%,-0.34,-,-,-,-,10.00%,40.63%,-10.53%,81.80%,-28.76%,78.04%,-39.00%,-34.50%,57.52%,0.00%,0.21%,-71.48%,-32.92%,-75.07%,-59.63%,-41.00%,-82.55%,-85.56%,-,-,,10.63M,8.18M,2.32%,0.49,0.19M,0.17 - 1.16,-83.79%,10.35%,33.73,-,0.53,386.38K,"203,133",-6.20%,-24.66%,-9.81%,-47.45%,-59.44%,-68.99%,0.70,0.02,9.47% 9.77%,-,0.19,0.19,-0.74%
CPIX,-,14.94M,-10.87M,36.79M,1.77,1.31,-,-,-,91,Yes / Yes,-,-5.86%,-,-,-,0.41,0.63,0.86,-,0.99,1.13,0.87,0.61,-,-9.31%,-0.77,-,-,-,-,30.00%,0.31%,0.06%,-355.03%,-6.45%,-49.52%,-9.92%,-26.82%,83.74%,0.00%,14.55%,-2.57%,-13.21%,-35.76%,-27.25%,70.70%,-20.70%,-29.54%,-,Nov 07 AMC,,14.12M,2.28M,3.37%,2.13,0.08M,1.07 - 2.36,-52.52%,4.67%,35.97,1.00,0.80,35.97K,"28,864",-6.67%,-10.40%,-17.04%,-25.83%,-33.33%,-37.49%,0.23,0.09,6.62% 8.28%,9.75,1.14,1.12,-1.75%
CPK,RUT,2.96B,107.27M,756.90M,59.20,0.07,2.51 (1.94%),2.46 (1.90%),"Dec 16, 2024",1281,Yes / Yes,-6.82%,5.46%,26.28,20.68,3.29,3.92,2.18,1840.71,-,0.31,0.38,1.05,0.88,19.15%,6.12%,4.92,6.25,1.68,1.79%,15.66%,8.00%,6.54%,6.83%,-0.47%,12.74%,47.29%,21.55%,15.41%,2.25%,-3.37%,85.74%,-1.41%,3.76%,9.69%,4.24%,33.55%,28.93%,14.17%,48.72%,Nov 07 AMC,,22.78M,22.27M,1.54%,3.82,0.34M,90.21 - 128.81,0.36%,43.30%,67.53,1.75,1.03,89.77K,"92,163",2.25%,5.79%,12.49%,15.02%,38.95%,22.39%,0.63,2.78,2.10% 2.02%,134.25,126.97,129.28,1.82%
CPNG,-,42.35B,1.03B,28.86B,2.33,3.43,-,-,-,78000,Yes / Yes,1.43%,-3.64%,42.88,47.57,61.26,1.47,10.44,7.10,46.54,0.86,1.13,0.96,0.76,440.54%,-2.33%,0.57,0.51,0.01,-100.13%,51719.15%,0.70%,-,45.92%,138.25%,24.69%,-24.16%,27.21%,12.74%,34.00%,-2.03%,51.36%,-1.32%,7.38%,28.94%,14.01%,27.79%,0.91%,3.57%,0.00%,Nov 05 AMC,,1.62B,1.19B,1.14%,1.86,13.49M,13.51 - 26.91,-9.48%,80.31%,45.48,1.68,0.72,7.26M,"5,235,173",1.08%,-3.06%,6.89%,6.10%,53.59%,50.46%,1.08,0.92,3.42% 3.12%,29.44,24.48,24.36,-0.49%
CPOP,-,4.51M,-12.41M,47.38M,3.89,0.34,-,-,-,26,No / Yes,-,0.03%,-,-,-,0.10,0.31,3.58,-,1.56,1.56,0.41,0.10,-,1.88%,-4.32,-,-,-,-,-,-,36.91%,-326.75%,155.52%,-310.45%,220.73%,-27.97%,28.25%,0.00%,0.28%,-50.22%,-30.52%,-58.98%,-73.66%,6.08%,-17.82%,-26.19%,-,-,,3.36M,2.83M,1.27%,0.53,0.04M,0.91 - 9.67,-87.38%,34.21%,50.68,-,0.24,67.82K,"16,042",-1.61%,-0.81%,4.27%,-26.51%,-31.84%,14.02%,1.92,0.07,5.71% 5.26%,-,1.19,1.22,2.52%
CPRI,-,2.49B,-357.00M,4.80B,12.60,1.58,-,-,-,15100,Yes / Yes,-8.17%,-13.11%,-,10.06,-,0.52,1.64,13.01,6.71,0.38,0.93,2.34,1.77,-10.97%,-39.37%,-3.06,2.05,0.68,-53.38%,25.47%,-,-,1.95%,-214.93%,-10.64%,-73.60%,-16.42%,-44.30%,2.28%,0.00%,81.90%,0.94%,-5.05%,-21.03%,-8.69%,60.20%,3.50%,-7.44%,-,Nov 08 BMO,,116.63M,115.20M,6.88%,1.96,7.92M,18.70 - 51.23,-59.79%,10.16%,26.67,2.75,0.96,4.04M,"3,882,880",3.31%,-50.93%,-37.59%,-42.35%,-57.08%,-59.00%,2.03,1.50,6.03% 4.75%,23.00,21.00,20.60,-1.90%
CPRT,"NDX, S&P 500",53.92B,1.36B,4.24B,7.81,3.59,-,-,-,11700,Yes / Yes,-0.48%,4.78%,40.50,32.20,2.70,12.73,7.25,15.76,56.07,6.75,6.82,0.02,0.01,-9.59%,6.58%,1.40,1.76,0.37,11.27%,12.91%,15.00%,17.85%,16.03%,9.32%,9.49%,-7.84%,7.16%,6.03%,8.71%,0.00%,82.61%,1.95%,17.98%,20.18%,17.88%,43.74%,37.10%,32.17%,0.00%,Nov 21 AMC,,962.97M,879.47M,1.40%,2.96,12.34M,46.21 - 58.58,-3.33%,22.55%,64.12,2.15,0.94,4.17M,"3,932,518",-0.21%,5.10%,8.95%,3.11%,14.84%,15.57%,1.27,0.94,1.43% 1.55%,57.83,56.67,56.63,-0.07%
CPRX,RUT,2.36B,142.80M,460.48M,5.54,3.90,-,-,-,167,Yes / Yes,2.44%,-5.48%,17.76,13.11,1.32,5.12,3.76,5.33,12.54,4.92,5.11,0.00,0.00,15.13%,-0.92%,1.17,1.59,0.34,93.39%,30.37%,13.42%,-,4106.79%,110.05%,32.17%,221.20%,25.33%,19.30%,11.27%,-6.28%,75.57%,4.11%,24.10%,28.29%,21.51%,78.26%,37.78%,31.01%,0.00%,Nov 06 AMC,,107.12M,105.83M,5.68%,6.30,6.01M,13.00 - 24.27,-14.22%,60.15%,41.98,1.00,1.18,955.34K,"1,123,983",-11.22%,-1.98%,0.63%,23.05%,55.61%,23.85%,0.75,0.79,4.24% 3.31%,32.25,20.60,20.82,1.07%
CPS,RUT,227.93M,-174.11M,2.74B,-8.95,7.10,-,-,-,23000,Yes / Yes,3.37%,-4.50%,-,16.77,-,0.08,-,1.98,9.99,1.07,1.35,-,-,42.37%,0.67%,-9.95,0.84,0.02,24.89%,123.60%,-8.50%,-,-3.97%,27.06%,-1.71%,-197.02%,-6.89%,-1.80%,3.46%,0.00%,64.42%,-0.82%,-9.10%,-1529.44%,-17.81%,10.04%,2.14%,-6.35%,-,Oct 31 AMC,,17.20M,16.73M,6.26%,8.02,1.05M,11.24 - 20.82,-32.33%,25.36%,44.89,1.00,0.96,130.54K,"125,641",-15.78%,3.07%,-4.86%,2.70%,-24.08%,-27.89%,2.78,0.91,6.29% 6.11%,20.00,14.63,14.09,-3.69%
CPSH,-,20.49M,-2.00M,21.94M,1.06,0.39,-,-,-,100,Yes / Yes,-,-2.97%,-,-,-,0.93,1.33,3.59,-,2.78,3.99,0.02,0.00,-,-1.45%,-0.14,-,-,-,-,-,-,5.26%,-233.01%,-18.51%,-713.68%,-32.43%,-17.06%,22.21%,0.06%,10.27%,-4.11%,-9.59%,-12.27%,-12.90%,5.93%,-13.30%,-9.12%,0.00%,Oct 31 BMO,,14.52M,11.30M,2.22%,1.06,0.25M,1.27 - 2.59,-45.56%,11.02%,44.96,-,0.47,238.05K,"111,573",-1.40%,0.00%,2.17%,-19.24%,-40.00%,-40.00%,1.24,0.07,3.42% 4.76%,-,1.40,1.41,0.71%
CPSS,RUT,228.63M,21.25M,358.18M,13.32,12.88,-,-,-,890,Yes / Yes,2.28%,2.71%,12.17,12.41,0.61,0.64,0.79,0.82,1.03,-,-,10.99,10.98,-4.76%,7.16%,0.87,0.85,0.27,-,-,20.00%,24.76%,-2.03%,-60.43%,6.27%,-51.75%,10.46%,17.17%,61.08%,-2.93%,25.60%,-0.30%,0.67%,7.71%,0.62%,99.76%,58.33%,5.93%,0.00%,Oct 31 AMC,,21.17M,8.33M,12.12%,25.42,1.01M,7.03 - 12.04,-12.38%,50.07%,57.23,1.00,1.09,39.71K,"43,279",0.00%,9.33%,24.70%,25.00%,6.57%,12.59%,2.02,0.41,4.05% 3.93%,18.00,10.57,10.55,-0.19%
CPT,S&P 500,12.73B,344.38M,1.56B,40.96,0.40,4.12 (3.43%),4.09 (3.41%),"Sep 30, 2024",1640,Yes / Yes,-0.62%,0.78%,37.97,73.23,18.03,8.18,2.93,300.55,32.53,-,-,0.73,0.73,-111.07%,-0.98%,3.16,1.64,0.41,-50.74%,-10.18%,2.11%,17.88%,10.13%,52.08%,1.53%,-108.78%,-0.49%,9.40%,1.60%,0.00%,98.48%,2.09%,3.79%,7.17%,4.20%,24.22%,19.75%,22.14%,108.11%,Oct 31 AMC,,115.64M,104.98M,1.64%,1.73,1.73M,86.07 - 127.69,-6.11%,39.30%,50.38,2.48,0.75,1.00M,"749,529",-1.69%,-0.70%,0.03%,13.56%,37.59%,20.75%,0.92,2.46,1.85% 2.12%,127.09,119.77,119.89,0.10%
CPTN,-,49.76M,-27.86M,17.87M,-3.24,2.99,-,-,-,87,No / Yes,-80.97%,-0.59%,-,-,-,2.78,-,1.04,-,5.41,5.52,0.20,0.15,-121.57%,0.01%,-1.75,-0.94,-0.24,63.29%,-3.84%,20.00%,-906.36%,75.81%,50.50%,84.61%,-2.85%,-85.73%,8.77%,61.66%,-0.06%,5.06%,32.26%,-34.91%,-44.91%,-51.71%,52.55%,-170.75%,-155.90%,-,Nov 07 AMC,,15.86M,6.15M,0.46%,1.25,0.03M,2.38 - 5.20,-40.00%,31.09%,45.68,3.00,0.21,22.65K,"4,683",-0.32%,-0.95%,1.79%,11.03%,1.30%,-0.64%,0.09,0.03,0.72% 0.67%,3.02,3.12,3.12,0.00%
CQP,-,26.27B,1.86B,8.93B,3.31,0.84,3.32 (6.22%),3.10 (5.80%),"Nov 04, 2024",1605,Yes / Yes,0.93%,6.77%,13.93,12.78,-,2.94,16.14,63.93,9.21,0.61,0.69,9.74,9.30,11.31%,8.16%,3.83,4.18,1.09,-42.57%,4.73%,-,97.79%,18.21%,-62.72%,-23.67%,-8.68%,-3.43%,8.32%,49.67%,0.00%,46.25%,-0.20%,10.47%,165.05%,11.25%,38.68%,37.41%,20.78%,59.39%,Oct 31 BMO,,484.00M,243.62M,0.22%,4.33,0.55M,45.41 - 61.89,-13.69%,17.63%,69.24,3.93,1.33,125.90K,"167,851",6.03%,9.19%,9.16%,8.44%,-6.67%,8.06%,0.69,1.19,2.44% 2.26%,48.92,53.00,53.42,0.79%
